Week,data_analyst,data_scientist,data_engineer
7/2/2023,87,37,29
7/9/2023,100,38,33
7/16/2023,94,35,31
7/23/2023,96,39,32
7/30/2023,90,36,31
8/6/2023,87,37,32
8/13/2023,89,59,29
8/20/2023,93,48,33
8/27/2023,92,43,32
9/3/2023,95,41,32
9/10/2023,94,43,32
9/17/2023,89,38,30
9/24/2023,86,40,32
10/1/2023,86,39,30
10/8/2023,85,36,29
10/15/2023,87,39,30
